olinkID	UNIPROT	TargetFullName	Target	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38	uniprot_gn_id
OID40433	Q9UKX3	Myosin-13	MYH13	MYH13	8735	MYH13	HGNC:7571	MYH13	MYH13	protein_coding	17	10204183	10276322	-	10300865	10373130	-	Q9UKX3
OID40434	Q9Y2K3	Myosin-15	MYH15	MYH15	22989	MYH15	HGNC:31073	MYH15	MYH15	protein_coding	3	108099216	108248169	-	108380368	108529322	-	Q9Y2K3
OID40435	Q9BUA6	Myosin regulatory light chain 10	MYL10	MYL10	93408	MYL10	HGNC:29825	MYL10	MYL10	protein_coding	7	101256605	101272576	-	101613330	101629296	-	Q9BUA6
OID40436	Q9HD67	Unconventional myosin-X	MYO10	MYO10	4651	MYO10	HGNC:7593	MYO10	MYO10	protein_coding	5	16662016	16936385	-	16661907	16936288	-	Q9HD67
OID40437	Q9NQX4	Unconventional myosin-Vc	MYO5C	MYO5C	55930	MYO5C	HGNC:7604	MYO5C	MYO5C	protein_coding	15	52484515	52587995	-	52192322	52295804	-	Q9NQX4
OID40438	P15172	Myoblast determination protein 1	MYOD1	MYOD1	4654	MYOD1	HGNC:7611	MYOD1	MYOD1	protein_coding	11	17741110	17743678	+	17719571	17722136	+	P15172
OID40439	Q9UL68	Myelin transcription factor 1-like protein	MYT1L	MYT1L	23040	MYT1L	HGNC:7623	MYT1L	MYT1L	protein_coding	2	1792885	2335045	-	1789113	2331664	-	Q9UL68
OID40440	Q8IYB0	Putative uncharacterized protein MGC39545	YK038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40442	Q9H009	Nascent polypeptide-associated complex subunit alpha-2	NACA2	NACA2	342538	NACA2	HGNC:23290	NACA2	NACA2	protein_coding	17	59667794	59668563	-	61590421	61591219	-	Q9H009
OID40443	Q9H9S0	Homeobox protein NANOG	NANOG	NANOG	79923	NANOG	HGNC:20857	NANOG	NANOG	protein_coding	12	7941995	7948655	+	7787794	7799146	+	Q9H9S0
OID40445	Q8NFP9	Neurobeachin	NBEA	NBEA	26960	NBEA	HGNC:7648	NBEA	NBEA	protein_coding	13	35516424	36246874	+	34942270	35673022	+	Q8NFP9
OID40447	O14513	Nck-associated protein 5	NCKAP5	NCKAP5	344148	NCKAP5	HGNC:29847	NCKAP5	NCKAP5	protein_coding	2	133429372	134326031	-	132671788	133568463	-	O14513
OID40448	Q9H4R4	Putative nuclear receptor corepressor 1-like protein NCOR1P1	NCOR1P1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40449	Q9UHB4	NADPH-dependent diflavin oxidoreductase 1	NDOR1	NDOR1	27158	NDOR1	HGNC:29838	NDOR1	NDOR1	protein_coding	9	140100119	140113813	+	137205685	137219361	+	Q9UHB4
OID40450	Q9Y375	Complex I intermediate-associated protein 30, mitochondrial	NDUFAF1	NDUFAF1	51103	NDUFAF1	HGNC:18828	NDUFAF1	NDUFAF1	protein_coding	15	41679547	41694658	-	41387218	41409403	-	Q9Y375
OID40451	Q9P032	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	NDUFAF4	NDUFAF4	29078	NDUFAF4	HGNC:21034	NDUFAF4	NDUFAF4	protein_coding	6	97337187	97345767	-	96889315	96897891	-	Q9P032
OID40452	O75489	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	NDUFS3	NDUFS3	4722	NDUFS3	HGNC:7710	NDUFS3	NDUFS3	protein_coding	11	47586982	47606115	+	47565336	47584562	+	O75489
OID40453	Q96P71	N-terminal EF-hand calcium-binding protein 3	NECAB3	NECAB3	63941	NECAB3	HGNC:15851	NECAB3	NECAB3	protein_coding	20	32244893	32262264	-	33657087	33674463	-	Q96P71
OID40454	Q6P3R8	Serine/threonine-protein kinase Nek5	NEK5	NEK5	341676	NEK5	HGNC:7748	NEK5	NEK5	protein_coding	13	52638900	52703214	-	52033611	52129092	-	Q6P3R8
OID40455	Q7Z628	Neuroepithelial cell-transforming gene 1 protein	NET1	NET1	10276	NET1	HGNC:14592	NET1	NET1	protein_coding	10	5454514	5501019	+	5412557	5459056	+	Q7Z628
OID40456	Q8NC67	Neuropilin and tolloid-like protein 2	NETO2	NETO2	81831	NETO2	HGNC:14644	NETO2	NETO2	protein_coding	16	47115431	47177936	-	47077703	47143945	-	Q8NC67
OID40457	Q14934	Nuclear factor of activated T-cells, cytoplasmic 4	NFATC4	NFATC4	4776	NFATC4	HGNC:7778	NFATC4	NFATC4	protein_coding	14	24836145	24848810	+	24365673	24379604	+	Q14934
OID40458	Q96IV0	Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase	NGLY1	NGLY1	55768	NGLY1	HGNC:17646	NGLY1	NGLY1	protein_coding	3	25760435	25831530	-	25718944	25790039	-	Q96IV0
OID40459	Q5HYW2	NHS-like protein 2	NHSL2	NHSL2	340527	NHSL2	HGNC:33737	NHSL2	NHSL2	protein_coding	X	71130938	71363424	+	71910845	72153286	+	Q5HYW2
OID40460	Q96TA1	Protein Niban 2	NIBAN2	NIBAN2	64855	NIBAN2	HGNC:25282	NIBAN2	NIBAN2	protein_coding	9	130267618	130341268	-	127505339	127578989	-	Q96TA1
OID40461	Q9NZG7	Ninjurin-2	NINJ2	NINJ2	4815	NINJ2	HGNC:7825	NINJ2	NINJ2	protein_coding	12	673462	772755	-	564296	663589	-	Q9NZG7
OID40462	Q96S42	Nodal homolog	NODAL	NODAL	4838	NODAL	HGNC:7865	NODAL	NODAL	protein_coding	10	72191692	72201465	-	70431936	70447951	-	Q96S42
OID40463	Q96MY1	Nucleolar protein 4-like	NOL4L	NOL4L	140688	NOL4L	HGNC:16106	NOL4L	NOL4L	protein_coding	20	31030862	31172875	-	32443059	32585333	-	Q96MY1
OID40464	Q14207	Protein NPAT	NPAT	NPAT	4863	NPAT	HGNC:7896	NPAT	NPAT	protein_coding	11	108028119	108093365	-	108157215	108222638	-	Q14207
OID40465	Q14994	Nuclear receptor subfamily 1 group I member 3	NR1I3	NR1I3	9970	NR1I3	HGNC:7969	NR1I3	NR1I3	protein_coding	1	161199456	161208000	-	161229666	161238244	-	Q14994
OID40466	Q7Z6K4	Notch-regulated ankyrin repeat-containing protein	NRARP	NRARP	441478	NRARP	HGNC:33843	NRARP	NRARP	protein_coding	9	140194083	140196703	-	137299631	137302271	-	Q7Z6K4
OID40467	P01111	GTPase NRas	NRAS	NRAS	4893	NRAS	HGNC:7989	NRAS	NRAS	protein_coding	1	115247085	115259515	-	114704469	114716771	-	P01111
OID40468	Q16656	Nuclear respiratory factor 1	NRF1	NRF1	4899	NRF1	HGNC:7996	NRF1	NRF1	protein_coding	7	129251555	129396922	+	129611720	129757082	+	Q16656
OID40469	Q9NQ35	Nuclear receptor-interacting protein 3	NRIP3	NRIP3	56675	NRIP3	HGNC:1167	NRIP3	NRIP3	protein_coding	11	9002123	9025596	-	8965682	9005288	-	Q9NQ35
OID40470	Q969T7	7-methylguanosine phosphate-specific 5'-nucleotidase	NT5C3B	NT5C3B	115024	NT5C3B	HGNC:28300	NT5C3B	NT5C3B	protein_coding	17	39981334	39992523	-	41825057	41836260	-	Q969T7
OID40471	Q9H093	NUAK family SNF1-like kinase 2	NUAK2	NUAK2	81788	NUAK2	HGNC:29558	NUAK2	NUAK2	protein_coding	1	205271191	205290883	-	205302063	205321745	-	Q9H093
OID40472	Q9NZJ9	Diphosphoinositol polyphosphate phosphohydrolase 2	NUDT4	NUDT4	11163	NUDT4	HGNC:8051	NUDT4	NUDT4	protein_coding	12	93771701	93797024	+	93377883	93408146	+	Q9NZJ9
OID40473	Q9Y6R0	Numb-like protein	NUMBL	NUMBL	9253	NUMBL	HGNC:8061	NUMBL	NUMBL	protein_coding	19	41171812	41196556	-	40665905	40690972	-	Q9Y6R0
OID40474	Q12769	Nuclear pore complex protein Nup160	NUP160	NUP160	23279	NUP160	HGNC:18017	NUP160	NUP160	protein_coding	11	47799670	47870057	-	47778087	47848555	-	Q12769
OID40475	A6NNL0	NUT family member 2B	NUTM2B	NUTM2B	729262	NUTM2B	HGNC:23445	NUTM2B	NUTM2B	protein_coding	10	NA	NA	NA	79703227	79714681	+	A6NNL0
OID40476	O15381	Nuclear valosin-containing protein-like	NVL	NVL	4931	NVL	HGNC:8070	NVL	NVL	protein_coding	1	224415036	224517891	-	224227334	224330189	-	O15381
OID40477	Q9H4D5	Nuclear RNA export factor 3	NXF3	NXF3	56000	NXF3	HGNC:8073	NXF3	NXF3	protein_coding	X	102330750	102348022	-	103075810	103093143	-	Q9H4D5
OID40478	Q6ZVC0	Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 1	NYAP1	NYAP1	222950	NYAP1	HGNC:22009	NYAP1	NYAP1	protein_coding	7	100081550	100092424	+	100483927	100494802	+	Q6ZVC0
OID40479	P11926	Ornithine decarboxylase	ODC1	ODC1	4953	ODC1	HGNC:8109	ODC1	ODC1	protein_coding	2	10580508	10588453	-	10439968	10448327	-	P11926
OID40480	Q9ULJ1	Protein BCAP	ODF2L	ODF2L	57489	ODF2L	HGNC:29225	ODF2L	ODF2L	protein_coding	1	86812507	86862025	-	86346824	86396342	-	Q9ULJ1
OID40481	Q9NRC9	Otoraplin	OTOR	OTOR	56914	OTOR	HGNC:8517	OTOR	OTOR	protein_coding	20	16729003	16732809	+	16748358	16752164	+	Q9NRC9
OID40482	Q7L8S5	OTU domain-containing protein 6A	OTUD6A	OTUD6A	139562	OTUD6A	HGNC:32312	OTUD6A	OTUD6A	protein_coding	X	69282341	69284029	+	70062457	70064179	+	Q7L8S5
OID40483	Q7Z309	PABIR family member 2	PABIR2	PABIR2	159090	PABIR2	HGNC:30490	PABIR2	PABIR2	protein_coding	X	133903596	133931262	-	134769566	134797232	-	Q7Z309
OID40484	Q9NP74	Palmdelphin	PALMD	PALMD	54873	PALMD	HGNC:15846	PALMD	PALMD	protein_coding	1	100111431	100160097	+	99646113	99694541	+	Q9NP74
OID40485	Q9NPB6	Partitioning defective 6 homolog alpha	PARD6A	PARD6A	50855	PARD6A	HGNC:15943	PARD6A	PARD6A	protein_coding	16	67694851	67696681	+	67660946	67662774	+	Q9NPB6
OID40486	Q6UWI2	Prostate androgen-regulated mucin-like protein 1	PARM1	PARM1	25849	PARM1	HGNC:24536	PARM1	PARM1	protein_coding	4	75858285	75975325	+	74933095	75050115	+	Q6UWI2
OID40487	Q9Y6F1	Protein mono-ADP-ribosyltransferase PARP3	PARP3	PARP3	10039	PARP3	HGNC:273	PARP3	PARP3	protein_coding	3	51976361	51982883	+	51942345	51948867	+	Q9Y6F1
OID40488	Q9UKK3	Protein mono-ADP-ribosyltransferase PARP4	PARP4	PARP4	143	PARP4	HGNC:271	PARP4	PARP4	protein_coding	13	24995069	25086948	-	24420931	24512778	-	Q9UKK3
OID40489	Q8IV76	Circadian clock protein PASD1	PASD1	PASD1	139135	PASD1	HGNC:20686	PASD1	PASD1	protein_coding	X	150732007	150845211	+	151563675	151676739	+	Q8IV76
OID40490	Q96RG2	PAS domain-containing serine/threonine-protein kinase	PASK	PASK	23178	PASK	HGNC:17270	PASK	PASK	protein_coding	2	242045514	242089394	-	241106099	241150264	-	Q96RG2
OID40491	O43316	Paired box protein Pax-4	PAX4	PAX4	5078	PAX4	HGNC:8618	NA	PAX4	protein_coding	7	127250346	127255982	-	127610292	127618142	-	J3KPG0
OID40492	Q15004	PCNA-associated factor	PCLAF	PCLAF	9768	PCLAF	HGNC:28961	PCLAF	PCLAF	protein_coding	15	64657211	64673702	-	64251545	64387687	-	Q15004
OID40493	Q15154	Pericentriolar material 1 protein	PCM1	PCM1	5108	PCM1	HGNC:8727	PCM1	PCM1	protein_coding	8	17780366	17887457	+	17922842	18029948	+	Q15154
OID40494	Q9NV79	Protein-L-isoaspartate O-methyltransferase domain-containing protein 2	PCMTD2	PCMTD2	55251	PCMTD2	HGNC:15882	PCMTD2	PCMTD2	protein_coding	20	62887048	62907579	+	64255695	64304820	+	Q9NV79
OID40495	Q08493	cAMP-specific 3',5'-cyclic phosphodiesterase 4C	PDE4C	PDE4C	5143	PDE4C	HGNC:8782	PDE4C	PDE4C	protein_coding	19	18318771	18366229	-	18207961	18255419	-	Q08493
OID40496	Q5EBL8	PDZ domain-containing protein 11	PDZD11	PDZD11	51248	PDZD11	HGNC:28034	PDZD11	PDZD11	protein_coding	X	69506211	69509798	-	70281118	70290514	-	Q5EBL8
OID40497	Q9UPQ7	E3 ubiquitin-protein ligase PDZRN3	PDZRN3	PDZRN3	23024	PDZRN3	HGNC:17704	PDZRN3	PDZRN3	protein_coding	3	73431652	73674072	-	73382431	73624941	-	Q9UPQ7
OID40498	Q96FA3	E3 ubiquitin-protein ligase pellino homolog 1	PELI1	PELI1	57162	PELI1	HGNC:8827	PELI1	PELI1	protein_coding	2	64319786	64371605	-	64092652	64144420	-	Q96FA3
OID40499	P40855	Peroxisomal biogenesis factor 19	PEX19	PEX19	5824	PEX19	HGNC:9713	PEX19	PEX19	protein_coding	1	160246599	160254941	-	160240142	160286348	-	P40855
OID40500	P16118	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1	PFKFB1	PFKFB1	5207	PFKFB1	HGNC:8872	PFKFB1	PFKFB1	protein_coding	X	54959567	55024967	-	54932961	54998534	-	P16118
OID40501	Q16877	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4	PFKFB4	PFKFB4	5210	PFKFB4	HGNC:8875	PFKFB4	PFKFB4	protein_coding	3	48555117	48598562	-	48517684	48562015	-	Q16877
OID40502	Q6NSJ2	Pleckstrin homology-like domain family B member 3	PHLDB3	PHLDB3	653583	PHLDB3	HGNC:30499	PHLDB3	PHLDB3	protein_coding	19	43979255	44008985	-	43474954	43504935	-	Q6NSJ2
OID40503	O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	PIK3CD	PIK3CD	5293	PIK3CD	HGNC:8977	PIK3CD	PIK3CD	protein_coding	1	9711790	9789172	+	9629889	9729114	+	O00329
OID40504	Q7Z3Z3	Piwi-like protein 3	PIWIL3	PIWIL3	440822	PIWIL3	HGNC:18443	PIWIL3	PIWIL3	protein_coding	22	25115001	25170687	-	24719034	24774720	-	Q7Z3Z3
OID40505	Q9P0L9	Polycystic kidney disease 2-like 1 protein	PKD2L1	PKD2L1	9033	PKD2L1	HGNC:9011	PKD2L1	PKD2L1	protein_coding	10	102047903	102090243	-	100288149	100330264	-	Q9P0L9
OID40506	Q86XP0	Cytosolic phospholipase A2 delta	PLA2G4D	PLA2G4D	283748	PLA2G4D	HGNC:30038	PLA2G4D	PLA2G4D	protein_coding	15	42359881	42386752	-	42067009	42094562	-	Q86XP0
OID40507	P53816	Phospholipase A and acyltransferase 3	PLAAT3	PLAAT3	11145	PLAAT3	HGNC:17825	PLAAT3	PLAAT3	protein_coding	11	63341944	63381941	-	63573195	63616883	-	P53816
OID40508	O95397	Putative protein PLEKHA9	PLEKHA8P1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40509	A1L390	Pleckstrin homology domain-containing family G member 3	PLEKHG3	PLEKHG3	26030	PLEKHG3	HGNC:20364	PLEKHG3	PLEKHG3	protein_coding	14	65171193	65211060	+	64704102	64750249	+	A1L390
OID40510	Q96PX9	Pleckstrin homology domain-containing family G member 4B	PLEKHG4B	PLEKHG4B	153478	PLEKHG4B	HGNC:29399	PLEKHG4B	PLEKHG4B	protein_coding	5	140373	190087	+	92168	189972	+	Q96PX9
OID40511	Q5SXH7	Pleckstrin homology domain-containing family S member 1	PLEKHS1	PLEKHS1	79949	PLEKHS1	HGNC:26285	NA	PLEKHS1	protein_coding	10	115511213	115542192	+	113751262	113783429	+	A0A494C1H5
OID40512	Q496M5	Inactive serine/threonine-protein kinase PLK5	PLK5	PLK5	126520	PLK5	HGNC:27001	PLK5	PLK5	protein_coding	19	1524073	1535455	+	1508023	1536046	+	Q496M5
OID40513	P60201	Myelin proteolipid protein	PLP1	PLP1	5354	PLP1	HGNC:9086	PLP1	PLP1	protein_coding	X	103031439	103047547	+	103773718	103792619	+	P60201
OID40514	Q8TBY8	Polyamine-modulated factor 1-binding protein 1	PMFBP1	PMFBP1	83449	PMFBP1	HGNC:17728	PMFBP1	PMFBP1	protein_coding	16	72152996	72206349	-	72112157	72249945	-	Q8TBY8
OID40515	Q13401	Putative postmeiotic segregation increased 2-like protein 3	PMS2P3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40516	Q96PV4	Paraneoplastic antigen-like protein 5	PNMA5	PNMA5	114824	PNMA5	HGNC:18743	PNMA5	PNMA5	protein_coding	X	152157368	152162671	-	152988824	152994116	-	Q96PV4
OID40517	Q8N8W4	Omega-hydroxyceramide transacylase	PNPLA1	PNPLA1	285848	PNPLA1	HGNC:21246	PNPLA1	PNPLA1	protein_coding	6	36210945	36276372	+	36243203	36313955	+	Q8N8W4
OID40518	Q3SYA9	Putative POM121-like protein 1	POM121L1P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40519	H3BUK9	POTE ankyrin domain family member B2	POTEB2	POTEB2	100287399	POTEB2	HGNC:48327	POTEB2	POTEB2	protein_coding	15	NA	NA	NA	20835372	20866314	-	H3BUK9
OID40520	Q7Z5V6	Protein phosphatase 1 regulatory subunit 32	PPP1R32	SAXO4	220004	SAXO4	HGNC:28869	SAXO4	SAXO4	protein_coding	11	61248585	61258400	+	61430126	61490931	+	NA
OID40521	Q08209	Protein phosphatase 3 catalytic subunit alpha	PPP3CA	PPP3CA	5530	PPP3CA	HGNC:9314	PPP3CA	PPP3CA	protein_coding	4	101944587	102268628	-	101023409	101348278	-	Q08209
OID40522	Q96LZ3	Calcineurin subunit B type 2	PPP3R2	PPP3R2	5535	PPP3R2	HGNC:9318	PPP3R2	PPP3R2	protein_coding	9	104353897	104357283	-	101591604	101594969	-	Q96LZ3
OID40523	A6NEY8	Putative prolyl-tRNA synthetase associated domain-containing protein 1	PRORSD1P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40524	Q2NL68	Proline and serine-rich protein 3	PROSER3	PROSER3	148137	PROSER3	HGNC:25204	PROSER3	PROSER3	protein_coding	19	36249044	36260077	+	35758143	35771166	+	Q2NL68
OID40525	Q9UMS4	Pre-mRNA-processing factor 19	PRPF19	PRPF19	27339	PRPF19	HGNC:17896	PRPF19	PRPF19	protein_coding	11	60658020	60674061	-	60890547	60906585	-	Q9UMS4
OID40526	Q96HE9	Proline-rich protein 11	PRR11	PRR11	55771	PRR11	HGNC:25619	PRR11	PRR11	protein_coding	17	57232860	57284070	+	59155732	59206709	+	Q96HE9
OID40527	Q8N4B5	Proline-rich protein 18	PRR18	PRR18	285800	PRR18	HGNC:28574	PRR18	PRR18	protein_coding	6	166719168	166721871	-	166305300	166308392	-	Q8N4B5
OID40528	P0DMB1	Proline-rich protein 23D2	PRR23D2	PRR23D2	100131608	PRR23D1	HGNC:49396	PRR23D2	PRR23D2	protein_coding	8	NA	NA	NA	7539627	7542450	+	NA
OID40529	Q96S07	Proline-rich protein 25	PRR25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40530	P79522	Proline-rich protein 3	PRR3	PRR3	80742	PRR3	HGNC:21149	PRR3	PRR3	protein_coding	6	30524486	30532473	+	30557280	30563723	+	P79522
OID40531	Q7Z6L0	Proline-rich transmembrane protein 2	PRRT2	PRRT2	112476	PRRT2	HGNC:30500	PRRT2	PRRT2	protein_coding	16	29823409	29827202	+	29811547	29820092	+	Q7Z6L0
OID40532	P11801	Serine/threonine-protein kinase H1	PSKH1	PSKH1	5681	PSKH1	HGNC:9529	PSKH1	PSKH1	protein_coding	16	67927175	67963581	+	67893254	67929676	+	P11801
OID40533	P25787	Proteasome subunit alpha type-2	PSMA2	PSMA2	5683	PSMA2	HGNC:9531	PSMA2	PSMA2	protein_coding	7	42956462	42971805	-	42910739	42932214	-	P25787
OID40534	A5LHX3	Proteasome subunit beta type-11	PSMB11	PSMB11	122706	PSMB11	HGNC:31963	PSMB11	PSMB11	protein_coding	14	23511376	23513269	+	23042212	23044060	+	A5LHX3
OID40535	Q9P2W1	Homologous-pairing protein 2 homolog	PSMC3IP	PSMC3IP	29893	PSMC3IP	HGNC:17928	PSMC3IP	PSMC3IP	protein_coding	17	40724328	40729849	-	42572310	42577831	-	Q9P2W1
OID40536	Q96PY0	Putative uncharacterized protein PSMG3-AS1	PSMG3-AS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40537	Q16825	Tyrosine-protein phosphatase non-receptor type 21	PTPN21	PTPN21	11099	PTPN21	HGNC:9651	PTPN21	PTPN21	protein_coding	14	88932122	89021123	-	88465778	88555007	-	Q16825
OID40538	Q9NZH4	Putative pituitary tumor-transforming gene 3 protein	PTTG3P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OID40539	Q15032	R3H domain-containing protein 1	R3HDM1	R3HDM1	23518	R3HDM1	HGNC:9757	R3HDM1	R3HDM1	protein_coding	2	136289083	136482839	+	135531455	135725270	+	Q15032
OID40540	A4D1S5	Ras-related protein Rab-19	RAB19	RAB19	401409	RAB19	HGNC:19982	RAB19	RAB19	protein_coding	7	140103843	140126050	+	140404058	140427974	+	A4D1S5
OID40541	P57729	Ras-related protein Rab-38	RAB38	RAB38	23682	RAB38	HGNC:9776	RAB38	RAB38	protein_coding	11	87846415	87908635	-	87847259	88175443	-	P57729
OID40542	P20337	Ras-related protein Rab-3B	RAB3B	RAB3B	5865	RAB3B	HGNC:9778	RAB3B	RAB3B	protein_coding	1	52373628	52456436	-	51907956	51990700	-	P20337
OID40543	Q92696	Geranylgeranyl transferase type-2 subunit alpha	RABGGTA	RABGGTA	5875	RABGGTA	HGNC:9795	RABGGTA	RABGGTA	protein_coding	14	24734744	24740833	-	24265538	24271611	-	Q92696
OID40544	Q15311	RalA-binding protein 1	RALBP1	RALBP1	10928	RALBP1	HGNC:9841	RALBP1	RALBP1	protein_coding	18	9475007	9538106	+	9475009	9538114	+	Q15311
OID40545	Q2PPJ7	Ral GTPase-activating protein subunit alpha-2	RALGAPA2	RALGAPA2	57186	RALGAPA2	HGNC:16207	RALGAPA2	RALGAPA2	protein_coding	20	20370272	20693266	-	20389530	20712644	-	Q2PPJ7
OID40546	Q86SE5	RNA-binding Raly-like protein	RALYL	RALYL	138046	RALYL	HGNC:27036	RALYL	RALYL	protein_coding	8	85095453	85834078	+	84182787	84921844	+	Q86SE5
OID40547	O60896	Receptor activity-modifying protein 3	RAMP3	RAMP3	10268	RAMP3	HGNC:9845	RAMP3	RAMP3	protein_coding	7	45197367	45223850	+	45157791	45186302	+	O60896
OID40548	Q86VV4	Ran-binding protein 3-like	RANBP3L	RANBP3L	202151	RANBP3L	HGNC:26353	RANBP3L	RANBP3L	protein_coding	5	36249104	36302011	-	36246913	36302114	-	Q86VV4
OID40549	O60518	Ran-binding protein 6	RANBP6	RANBP6	26953	RANBP6	HGNC:9851	RANBP6	RANBP6	protein_coding	9	6011019	6015640	-	6011025	6015625	-	O60518
OID40550	Q8IZ41	Ras and EF-hand domain-containing protein	RASEF	RASEF	158158	RASEF	HGNC:26464	RASEF	RASEF	protein_coding	9	85594500	85678043	-	82979590	83063177	-	Q8IZ41
OID40551	O75901	Ras association domain-containing protein 9	RASSF9	RASSF9	9182	RASSF9	HGNC:15739	RASSF9	RASSF9	protein_coding	12	86198331	86230318	-	85800703	85836409	-	O75901
OID40552	Q99708	DNA endonuclease RBBP8	RBBP8	RBBP8	5932	RBBP8	HGNC:9891	RBBP8	RBBP8	protein_coding	18	20513295	20606449	+	22798261	23026488	+	Q99708
OID40553	O75884	Serine hydrolase RBBP9	RBBP9	RBBP9	10741	RBBP9	HGNC:9892	RBBP9	RBBP9	protein_coding	20	18467188	18477887	-	18486540	18497225	-	O75884
OID40554	Q8N0V3	Putative ribosome-binding factor A, mitochondrial	RBFA	RBFA	79863	RBFA	HGNC:26120	RBFA	RBFA	protein_coding	18	77794346	77853788	+	80034346	80097088	+	Q8N0V3
OID40555	Q5RL73	RNA-binding protein 48	RBM48	RBM48	84060	RBM48	HGNC:21785	RBM48	RBM48	protein_coding	7	92158087	92167319	+	92528773	92540481	+	Q5RL73
OID40556	O94762	ATP-dependent DNA helicase Q5	RECQL5	RECQL5	9400	RECQL5	HGNC:9950	RECQL5	RECQL5	protein_coding	17	73622925	73663269	-	75626845	75667189	-	O94762
OID40557	Q96A58	Ras-related and estrogen-regulated growth inhibitor	RERG	RERG	85004	RERG	HGNC:15980	RERG	RERG	protein_coding	12	15260716	15374411	-	15107783	15221417	-	Q96A58
OID40558	Q6ZTI6	Refilin-A	RFLNA	RFLNA	144347	RFLNA	HGNC:27051	RFLNA	RFLNA	protein_coding	12	124773710	124800570	+	124289164	124316024	+	NA
OID40559	O14924	Regulator of G-protein signaling 12	RGS12	RGS12	6002	RGS12	HGNC:9994	RGS12	RGS12	protein_coding	4	3294755	3441640	+	3293021	3439913	+	O14924
OID40560	Q8NE09	Regulator of G-protein signaling 22	RGS22	RGS22	26166	RGS22	HGNC:24499	RGS22	RGS22	protein_coding	8	100973276	101118344	-	99960936	100131268	-	Q8NE09
OID40561	O15539	Regulator of G-protein signaling 5	RGS5	RGS5	8490	RGS5	HGNC:10001	RGS5	RGS5	protein_coding	1	163112089	163291581	-	163111121	163321791	-	O15539
OID40562	Q6MZT1	Regulator of G-protein signaling 7-binding protein	RGS7BP	RGS7BP	401190	RGS7BP	HGNC:23271	RGS7BP	RGS7BP	protein_coding	5	63801774	63908121	+	64506015	64612319	+	Q6MZT1
OID40563	Q8TCX5	Rhophilin-1	RHPN1	RHPN1	114822	RHPN1	HGNC:19973	RHPN1	RHPN1	protein_coding	8	144451025	144466390	+	143368876	143384221	+	Q8TCX5
OID40564	Q9NVN3	Synembryn-B	RIC8B	RIC8B	55188	RIC8B	HGNC:25555	RIC8B	RIC8B	protein_coding	12	107168399	107283094	+	106774621	106889316	+	Q9NVN3
OID40565	A6NJZ7	RIMS-binding protein 3A/C	RIMBP3C	RIMBP3C	150221	RIMBP3C	HGNC:33892	RIMBP3C	RIMBP3C	protein_coding	22	21737663	21743455	+	21545666	21551461	-	NA
OID40565	Q9UFD9	RIMS-binding protein 3A/C	RIMBP3C	RIMBP3	85376	RIMBP3	HGNC:29344	RIMBP3	RIMBP3	protein_coding	22	20455994	20461786	-	18605802	18611919	-	NA
OID40566	Q13671	Ras and Rab interactor 1	RIN1	RIN1	9610	RIN1	HGNC:18749	RIN1	RIN1	protein_coding	11	66099542	66104311	-	66330241	66336840	-	Q13671
OID40567	Q9Y572	Receptor-interacting serine/threonine-protein kinase 3	RIPK3	RIPK3	11035	RIPK3	HGNC:10021	RIPK3	RIPK3	protein_coding	14	24805227	24809242	-	24336025	24340022	-	Q9Y572
OID40568	Q8IUD6	E3 ubiquitin-protein ligase RNF135	RNF135	RNF135	84282	RNF135	HGNC:21158	RNF135	RNF135	protein_coding	17	29297956	29326929	+	30970984	30999911	+	Q8IUD6
OID40569	Q9BXT8	RING finger protein 17	RNF17	RNF17	56163	RNF17	HGNC:10060	RNF17	RNF17	protein_coding	13	25338301	25454058	+	24747658	24879921	+	Q9BXT8
OID40570	Q9H0X6	RING finger protein 208	RNF208	RNF208	727800	RNF208	HGNC:25420	RNF208	RNF208	protein_coding	9	140114699	140115775	-	137220259	137222240	-	Q9H0X6
