SeqId	SomaId	UNIPROT	Target	TargetFullName	EntrezGeneID	EntrezGeneSymbol	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38	uniprot_gn_id
19369-17	SL007580	Q92830	GCNL2	Histone acetyltransferase KAT2A	2648	KAT2A	KAT2A	2648	KAT2A	HGNC:4201	KAT2A	KAT2A	protein_coding	17	40265129	40273382	-	42113111	42125866	-	Q92830
19370-30	SL018828	Q9Y661	HS3S4	Heparan sulfate glucosamine 3-O-sulfotransferase 4	9951	HS3ST4	HS3ST4	9951	HS3ST4	HGNC:5200	HS3ST4	HS3ST4	protein_coding	16	25703347	26149009	+	25691959	26137685	+	Q9Y661
19371-18	SL011230	Q15691	MARE1	Microtubule-associated protein RP/EB family member 1	22919	MAPRE1	MAPRE1	22919	MAPRE1	HGNC:6890	MAPRE1	MAPRE1	protein_coding	20	31407699	31438211	+	32819954	32850405	+	Q15691
19372-7	SL021669	Q7Z553	MDGA2	MAM domain-containing glycosylphosphatidylinositol anchor protein 2	161357	MDGA2	MDGA2	NA	MDGA2	HGNC:19835	MDGA2	MDGA2	protein_coding	14	47308828	48144157	-	46840092	47675605	-	G3V5Z1
19373-3	SL008053	P19105	MLRM	Myosin regulatory light chain 12A	10627	MYL12A	MYL12A	10627	MYL12A	HGNC:16701	MYL12A	MYL12A	protein_coding	18	3247528	3256234	+	3247481	3256236	+	P19105
19374-72	SL019344	P56278	MTCP1	Protein p13 MTCP-1	4515	MTCP1	MTCP1	4515	MTCP1	HGNC:7423	MTCP1	MTCP1	protein_coding	X	154292309	154299547	-	155064034	155147937	-	P56278
19376-74	SL008101	P40261	NNMT	Nicotinamide N-methyltransferase	4837	NNMT	NNMT	4837	NNMT	HGNC:7861	NNMT	NNMT	protein_coding	11	114128553	114183238	+	114257787	114313536	+	P40261
19377-14	SL012399	O95897	NOE2	Noelin-2	93145	OLFM2	OLFM2	93145	OLFM2	HGNC:17189	OLFM2	OLFM2	protein_coding	19	9964394	10047070	-	9853718	9936515	-	O95897
19379-154	SL008723	O95716	RAB3D	Ras-related protein Rab-3D	9545	RAB3D	RAB3D	9545	RAB3D	HGNC:9779	RAB3D	RAB3D	protein_coding	19	11432722	11450344	-	11322068	11346270	-	O95716
19381-7	SL021788	Q2M5E4	RGS21	Regulator of G-protein signaling 21	431704	RGS21	RGS21	431704	RGS21	HGNC:26839	RGS21	RGS21	protein_coding	1	192286122	192336414	+	192316992	192367285	+	Q2M5E4
19383-131	SL021086	Q9BW66	CINP	Cyclin-dependent kinase 2-interacting protein	51550	CINP	CINP	51550	CINP	HGNC:23789	CINP	CINP	protein_coding	14	102808956	102829253	-	102341102	102362916	-	Q9BW66
19388-2	SL025812	P55289	Cadherin-12:ECD	Cadherin-12:Extracellular domain	1010	CDH12	CDH12	1010	CDH12	HGNC:1751	CDH12	CDH12	protein_coding	5	21750973	22853731	-	21750673	22853344	-	P55289
19392-6	SL008871	O94760	DDAH1	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1	23576	DDAH1	DDAH1	23576	DDAH1	HGNC:2715	DDAH1	DDAH1	protein_coding	1	85784168	86044046	-	85318481	85578363	-	O94760
19437-61	SL021823	P15692	L-VEGF165	Isoform L-VEGF165	7422	VEGFA	VEGFA	7422	VEGFA	HGNC:12680	VEGFA	VEGFA	protein_coding	6	43737946	43754223	+	43770184	43786487	+	P15692
19438-68	SL021097	O95926	SYF2	Pre-mRNA-splicing factor SYF2	25949	SYF2	SYF2	25949	SYF2	HGNC:19824	SYF2	SYF2	protein_coding	1	25548767	25559013	-	25222276	25232502	-	O95926
19446-1	SL020976	Q9P2T1	GMPR2	GMP reductase 2	51292	GMPR2	GMPR2	51292	GMPR2	HGNC:4377	GMPR2	GMPR2	protein_coding	14	24701648	24708447	+	24232422	24239242	+	Q9P2T1
19448-104	SL013090	Q16831	UPP1	Uridine phosphorylase 1	7378	UPP1	UPP1	7378	UPP1	HGNC:12576	UPP1	UPP1	protein_coding	7	48128355	48148330	+	48088628	48108736	+	Q16831
19467-3	SL020965	Q9H477	RBSK	Ribokinase	64080	RBKS	RBKS	64080	RBKS	HGNC:30325	RBKS	RBKS	protein_coding	2	28004266	28113223	-	27781379	27890681	-	Q9H477
19482-11	SL015184	Q9BSH5	HDHD3	Haloacid dehalogenase-like hydrolase domain-containing protein 3	81932	HDHD3	HDHD3	81932	HDHD3	HGNC:28171	HDHD3	HDHD3	protein_coding	9	116135698	116139233	-	113373419	113376986	-	Q9BSH5
19483-16	SL020931	Q06136	KDSR	3-ketodihydrosphingosine reductase	2531	KDSR	KDSR	2531	KDSR	HGNC:4021	KDSR	KDSR	protein_coding	18	60994971	61034506	-	63327726	63367228	-	Q06136
19488-1	SL007980	O75340	PDCD6	Programmed cell death protein 6	10016	PDCD6	PDCD6	10016	PDCD6	HGNC:8765	PDCD6	PDCD6	protein_coding	5	271736	315089	+	271621	314974	+	O75340
19491-11	SL015110	Q92506	DHB8	Estradiol 17-beta-dehydrogenase 8	7923	HSD17B8	HSD17B8	7923	HSD17B8	HGNC:3554	HSD17B8	HSD17B8	protein_coding	6	33172414	33174608	+	33204655	33206831	+	Q92506
19492-5	SL021007	Q9UBP8	KAAG1	Kidney-associated antigen 1	353219	KAAG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
19496-1	SL008297	Q9BXD5	NPL	N-acetylneuraminate lyase	80896	NPL	NPL	80896	NPL	HGNC:16781	NPL	NPL	protein_coding	1	182758584	182799519	+	182789293	182830384	+	Q9BXD5
19503-2	SL007970	O60493	SNX3	Sorting nexin-3	8724	SNX3	SNX3	8724	SNX3	HGNC:11174	SNX3	SNX3	protein_coding	6	108532717	108582464	-	108211222	108261246	-	O60493
19504-22	SL021087	P23919	KTHY	Thymidylate kinase	1841	DTYMK	DTYMK	1841	DTYMK	HGNC:3061	DTYMK	DTYMK	protein_coding	2	242615157	242626383	-	241675747	241686944	-	P23919
19506-6	SL015017	Q6IB77	GLYAT	Glycine N-acyltransferase	10249	GLYAT	GLYAT	10249	GLYAT	HGNC:13734	GLYAT	GLYAT	protein_coding	11	58476230	58499447	-	58640426	58731974	-	Q6IB77
19511-8	SL020984	Q6PH85	DCNL2	DCN1-like protein 2	55208	DCUN1D2	DCUN1D2	55208	DCUN1D2	HGNC:20328	DCUN1D2	DCUN1D2	protein_coding	13	114110134	114145023	-	113455819	113490951	-	Q6PH85
19516-10	SL013047	P52926	HMGA2	High mobility group protein HMGI-C	8091	HMGA2	HMGA2	8091	HMGA2	HGNC:5009	HMGA2	HMGA2	protein_coding	12	66217437	66360071	+	65824460	65966291	+	P52926
19518-12	SL007273	P52790	HXK3	Hexokinase-3	3101	HK3	HK3	3101	HK3	HGNC:4925	HK3	HK3	protein_coding	5	176307870	176326333	-	176880869	176899346	-	P52790
19523-215	SL008933	Q99497	PARK7	Protein DJ-1	11315	PARK7	PARK7	11315	PARK7	HGNC:16369	PARK7	PARK7	protein_coding	1	8021714	8045342	+	7954291	7985505	+	Q99497
19545-145	SL020843	Q99497	Oxidized PARK7	Oxidized Protein deglycase DJ-1	11315	PARK7	PARK7	11315	PARK7	HGNC:16369	PARK7	PARK7	protein_coding	1	8021714	8045342	+	7954291	7985505	+	Q99497
19553-14	SL004304	Q16623	STX1a	Syntaxin-1A	6804	STX1A	STX1A	6804	STX1A	HGNC:11433	STX1A	STX1A	protein_coding	7	73113535	73134017	-	73699206	73719672	-	Q16623
19555-1	SL013060	P61956	SUMO2	Small ubiquitin-related modifier 2	6613	SUMO2	SUMO2	6613	SUMO2	HGNC:11125	SUMO2	SUMO2	protein_coding	17	73163825	73179098	-	75165586	75182959	-	P61956
19556-12	SL004554	P17927	Complement receptor type 1	Complement receptor type 1	1378	CR1	CR1	NA	CR1	HGNC:2334	CR1	CR1	protein_coding	1	207669473	207815110	+	207496147	207641765	+	Q5SR44
19557-3	SL021540	Q86Z14	KLOTB	Beta-klotho	152831	KLB	KLB	152831	KLB	HGNC:15527	KLB	KLB	protein_coding	4	39408473	39453153	+	39406930	39451533	+	Q86Z14
19558-10	SL007029	O75096	LRP4	Low-density lipoprotein receptor-related protein 4	4038	LRP4	LRP4	4038	LRP4	HGNC:6696	LRP4	LRP4	protein_coding	11	46878268	46940173	-	46856717	46918642	-	O75096
19560-23	SL021489	Q9HCM2	PLXA4	Plexin-A4	91584	PLXNA4	PLXNA4	91584	PLXNA4	HGNC:9102	PLXNA4	PLXNA4	protein_coding	7	131808091	132333447	-	132123340	132648688	-	Q9HCM2
19561-216	SL009025	Q9Y4D7	PLXD1	Plexin-D1	23129	PLXND1	PLXND1	23129	PLXND1	HGNC:9107	PLXND1	PLXND1	protein_coding	3	129274056	129325582	-	129555214	129606676	-	Q9Y4D7
19562-8	SL021216	Q96RU2	UBP28	Ubiquitin carboxyl-terminal hydrolase 28	57646	USP28	USP28	57646	USP28	HGNC:12625	USP28	USP28	protein_coding	11	113668597	113746256	-	113797874	113875572	-	Q96RU2
19563-3	SL008781	Q9BYH1	SEZ6L	Seizure 6-like protein	23544	SEZ6L	SEZ6L	23544	SEZ6L	HGNC:10763	SEZ6L	SEZ6L	protein_coding	22	26565440	26779563	+	26169462	26383597	+	Q9BYH1
19564-61	SL007438	Q15306	IRF4	Interferon regulatory factor 4	3662	IRF4	IRF4	3662	IRF4	HGNC:6119	IRF4	IRF4	protein_coding	6	391739	411443	+	391739	411443	+	Q15306
19567-1	SL016828	P00533	EGFRvIII	Epidermal growth factor receptor variant III	1956	EGFR	EGFR	1956	EGFR	HGNC:3236	EGFR	EGFR	protein_coding	7	55086725	55275031	+	55019017	55211628	+	P00533
19568-17	SL001775	P40933	IL-15	Interleukin-15	3600	IL15	IL15	3600	IL15	HGNC:5977	IL15	IL15	protein_coding	4	142557749	142655140	+	141636583	141733987	+	P40933
19570-12	SL004341	P55075	FGF-8	Fibroblast growth factor 8	2253	FGF8	FGF8	2253	FGF8	HGNC:3686	FGF8	FGF8	protein_coding	10	103529887	103540126	-	101770109	101780371	-	P55075
19572-10	SL006492	P53567	CEBPG	CCAAT/enhancer-binding protein gamma	1054	CEBPG	CEBPG	1054	CEBPG	HGNC:1837	CEBPG	CEBPG	protein_coding	19	33864575	33873592	+	33373685	33382686	+	P53567
19574-5	SL000542	P05106	gpIIbIIIa	Integrin alpha-IIb: beta-3 complex	3690	ITGB3	ITGB3	3690	ITGB3	HGNC:6156	ITGB3	ITGB3	protein_coding	17	45331208	45421658	+	47253827	47344292	+	NA
19574-5	SL000542	P08514	gpIIbIIIa	Integrin alpha-IIb: beta-3 complex	3690	ITGB3	ITGA2B	3674	ITGA2B	HGNC:6138	ITGA2B	ITGA2B	protein_coding	17	42449550	42466873	-	44372180	44389649	-	NA
19575-4	SL005159	P19235	EPO-R	Erythropoietin receptor	2057	EPOR	EPOR	2057	EPOR	HGNC:3416	EPOR	EPOR	protein_coding	19	11487881	11495018	-	11377207	11384342	-	P19235
19578-19	SL016379	O60496	DOK2	Docking protein 2	9046	DOK2	DOK2	9046	DOK2	HGNC:2991	DOK2	DOK2	protein_coding	8	21563902	21771205	-	21908873	21913690	-	O60496
19579-5	SL004526	P59665	HNP-1	Neutrophil defensin 1	1667	DEFA1	DEFA1	728358	DEFA1B	HGNC:33596	DEFA1	DEFA1	protein_coding	8	6873391	6875823	-	6996766	6999198	-	NA
19581-15	SL004676	P24593	IGFBP-5	Insulin-like growth factor-binding protein 5	3488	IGFBP5	IGFBP5	3488	IGFBP5	HGNC:5474	IGFBP5	IGFBP5	protein_coding	2	217536828	217560272	-	216672105	216695549	-	P24593
19584-33	SL003849	P31371	FGF9	Fibroblast growth factor 9	2254	FGF9	FGF9	2254	FGF9	HGNC:3687	FGF9	FGF9	protein_coding	13	22245215	22278640	+	21671073	21704498	+	P31371
19586-89	SL011389	Q96E17	RAB3C	Ras-related protein Rab-3C	115827	RAB3C	RAB3C	115827	RAB3C	HGNC:30269	RAB3C	RAB3C	protein_coding	5	57878939	58147406	+	58582221	58859394	+	Q96E17
19587-12	SL021249	P52294	IMA5	Importin subunit alpha-5	3836	KPNA1	KPNA1	3836	KPNA1	HGNC:6394	KPNA1	KPNA1	protein_coding	3	122140748	122233786	-	122421902	122514945	-	P52294
19590-46	SL004484	P35247	SP-D	Pulmonary surfactant-associated protein D	6441	SFTPD	SFTPD	6441	SFTPD	HGNC:10803	SFTPD	SFTPD	protein_coding	10	81697496	81708861	-	79937467	79982614	-	P35247
19596-18	SL016130	Q92994	BRF-1	Transcription factor IIIB 90 kDa subunit	2972	BRF1	BRF1	2972	BRF1	HGNC:11551	BRF1	BRF1	protein_coding	14	105675623	105781914	-	105209286	105315589	-	Q92994
19601-15	SL019725	Q96DX5	ASB9	Ankyrin repeat and SOCS box protein 9	140462	ASB9	ASB9	140462	ASB9	HGNC:17184	ASB9	ASB9	protein_coding	X	15262109	15288589	-	15235288	15270467	-	Q96DX5
19602-36	SL003671	P17535	jun-D	Transcription factor jun-D	3727	JUND	JUND	3727	JUND	HGNC:6206	JUND	JUND	protein_coding	19	18390563	18392432	-	18279694	18281622	-	P17535
19606-28	SL004084	Q14623	ihh	Indian hedgehog protein	3549	IHH	IHH	3549	IHH	HGNC:5956	IHH	IHH	protein_coding	2	219919142	219925238	-	219054424	219060921	-	Q14623
19612-3	SL007309	P60033	CD81	CD81 antigen	975	CD81	CD81	975	CD81	HGNC:1701	CD81	CD81	protein_coding	11	2398547	2418649	+	2376177	2397802	+	P60033
19613-16	SL021787	Q8IZV5	RDH10	Retinol dehydrogenase 10	157506	RDH10	RDH10	157506	RDH10	HGNC:19975	RDH10	RDH10	protein_coding	8	74206837	74237520	+	73294602	73325281	+	Q8IZV5
19614-8	SL003164	P20061	Holo-TC I	Transcobalamin-1	6947	TCN1	TCN1	6947	TCN1	HGNC:11652	TCN1	TCN1	protein_coding	11	59620281	59634041	-	59852800	59866489	-	P20061
19615-213	SL013508	Q9H0P0	5NT3	Cytosolic 5'-nucleotidase 3A	51251	NT5C3A	NT5C3A	NA	NT5C3A	HGNC:17820	NT5C3A	NT5C3A	protein_coding	7	33053725	33102409	-	33014130	33062796	-	C9K084
19616-100	SL008702	Q9BUP0	EFHD1	EF-hand domain-containing protein D1	80303	EFHD1	EFHD1	80303	EFHD1	HGNC:29556	EFHD1	EFHD1	protein_coding	2	233470767	233547491	+	232606057	232682776	+	Q9BUP0
19617-5	SL005407	Q14914	LTB4DH	Prostaglandin reductase 1	22949	PTGR1	PTGR1	22949	PTGR1	HGNC:18429	PTGR1	PTGR1	protein_coding	9	114312002	114362135	-	111549722	111599893	-	Q14914
19620-16	SL021282	Q15700	DLG2	Disks large homolog 2	1740	DLG2	DLG2	1740	DLG2	HGNC:2901	DLG2	DLG2	protein_coding	11	83166056	85338314	-	83455012	85628335	-	Q15700
19622-7	SL001938	P08476	Activin A	Activin A	3624	INHBA	INHBA	3624	INHBA	HGNC:6066	INHBA	INHBA	protein_coding	7	41728601	41742706	-	41667168	41705834	-	P08476
19623-26	SL004605	P08865	40S ribosomal protein SA	40S ribosomal protein SA	3921	RPSA	RPSA	3921	RPSA	HGNC:6502	RPSA	RPSA	protein_coding	3	39448204	39454032	+	39406716	39412542	+	P08865
19630-2	SL005267	O76070	g-Synuclein	Gamma-synuclein	6623	SNCG	SNCG	6623	SNCG	HGNC:11141	SNCG	SNCG	protein_coding	10	88718288	88723017	+	86958599	86963258	+	O76070
19631-13	SL014330	P01042	Kininostatin	Kininostatin	3827	KNG1	KNG1	3827	KNG1	HGNC:6383	KNG1	KNG1	protein_coding	3	186435098	186462199	+	186717348	186744410	+	P01042
19635-69	SL008693	Q14314	FGL2	Fibroleukin	10875	FGL2	FGL2	10875	FGL2	HGNC:3696	FGL2	FGL2	protein_coding	7	76822688	76829150	-	77193369	77199819	-	Q14314
19636-23	SL002647	P17693	HLA-G	HLA class I histocompatibility antigen, alpha chain G	3135	HLA-G	HLA-G	3135	HLA-G	HGNC:4964	HLA-G	HLA-G	protein_coding	6	29794756	29977733	+	29826967	29831125	+	P17693
19637-9	SL003526	P06850	CRH	Corticoliberin	1392	CRH	CRH	1392	CRH	HGNC:2355	CRH	CRH	protein_coding	8	67088612	67090846	-	66176376	66178464	-	P06850
19638-9	SL021368	P01213	Dynorphin A (1-17)	Dynorphin A (1-17)	5173	PDYN	PDYN	5173	PDYN	HGNC:8820	PDYN	PDYN	protein_coding	20	1959402	1974931	-	1978757	1994285	-	P01213
19639-53	SL011501	P10997	IAPP	Islet amyloid polypeptide	3375	IAPP	IAPP	3375	IAPP	HGNC:5329	IAPP	IAPP	protein_coding	12	21525802	21532914	+	21354959	21379980	+	P10997
19640-2	SL000533	P01270	Parathyroid Hormone1-34	Parathyroid Hormone1-34	5741	PTH	PTH	5741	PTH	HGNC:9606	PTH	PTH	protein_coding	11	13513601	13517567	-	13492054	13496181	-	P01270
19742-3	SL015167	Q99719	Septin-5	Septin-5	5413	SEPTIN5	SEPTIN5	5413	SEPTIN5	HGNC:9164	SEPTIN5	SEPTIN5	protein_coding	22	NA	NA	NA	19714503	19723319	+	Q99719
19743-12	SL018234	Q6UX27	VSTM1	V-set and transmembrane domain-containing protein 1	284415	VSTM1	VSTM1	284415	VSTM1	HGNC:29455	VSTM1	VSTM1	protein_coding	19	54544080	54567207	-	54040825	54063953	-	Q6UX27
19747-10	SL003656	P00966	Argininosuccinate synthase	Argininosuccinate synthase	445	ASS1	ASS1	445	ASS1	HGNC:758	ASS1	ASS1	protein_coding	9	133320094	133376661	+	130444961	130501274	+	P00966
19748-3	SL013390	P53602	ERG19	Diphosphomevalonate decarboxylase	4597	MVD	MVD	4597	MVD	HGNC:7529	MVD	MVD	protein_coding	16	88718348	88729495	-	88651935	88663161	-	P53602
19751-21	SL009196	P00813	ADA	Adenosine deaminase	100	ADA	ADA	100	ADA	HGNC:186	ADA	ADA	protein_coding	20	43248163	43280376	-	44584896	44652252	-	P00813
19752-197	SL013968	Q6UB28	AMP1D	Methionine aminopeptidase 1D, mitochondrial	254042	METAP1D	METAP1D	254042	METAP1D	HGNC:32583	METAP1D	METAP1D	protein_coding	2	172864804	172945587	+	171999943	172082430	+	Q6UB28
19755-38	SL018351	Q9UII2	ATIF1	ATPase inhibitor, mitochondrial	93974	ATP5IF1	ATP5IF1	93974	ATP5IF1	HGNC:871	ATP5IF1	ATP5IF1	protein_coding	1	28562602	28564616	+	28236109	28246906	+	Q9UII2
19760-26	SL009336	P15085	CBPA1	Carboxypeptidase A1	1357	CPA1	CPA1	1357	CPA1	HGNC:2296	CPA1	CPA1	protein_coding	7	130020290	130027949	+	130380339	130388114	+	P15085
19765-17	SL008886	Q6UXB4	CLC4G	C-type lectin domain family 4 member G	339390	CLEC4G	CLEC4G	339390	CLEC4G	HGNC:24591	CLEC4G	CLEC4G	protein_coding	19	7793843	7797057	-	7728957	7745662	-	Q6UXB4
19767-20	SL000129	P24864	Cyclin E	G1/S-specific cyclin-E1	898	CCNE1	CCNE1	898	CCNE1	HGNC:1589	CCNE1	CCNE1	protein_coding	19	30302901	30315215	+	29811991	29824312	+	P24864
19768-13	SL000395	P04080	Cystatin B	Cystatin B	1476	CSTB	CSTB	1476	CSTB	HGNC:2482	CSTB	CSTB	protein_coding	21	45193546	45196256	-	43772511	43776330	-	P04080
19774-8	SL009289	P69892	HBG2	Hemoglobin subunit gamma-2	3048	HBG2	HBG2	3048	HBG2	HGNC:4832	HBG2	HBG2	protein_coding	11	5269502	5667011	-	5248270	5505605	-	P69892
19784-16	SL008687	Q14210	LY6D	Lymphocyte antigen 6D	8581	LY6D	LY6D	8581	LY6D	HGNC:13348	LY6D	LY6D	protein_coding	8	143866298	143868008	-	142784882	142786539	-	Q14210
19786-26	SL006554	Q16819	MEP1A	Meprin A subunit alpha	4224	MEP1A	MEP1A	4224	MEP1A	HGNC:7015	MEP1A	MEP1A	protein_coding	6	46761094	46807519	+	46793389	46839778	+	Q16819
19787-14	SL004873	Q12866	MER	Proto-oncogene tyrosine-protein kinase MER	10461	MERTK	MERTK	10461	MERTK	HGNC:7027	MERTK	MERTK	protein_coding	2	112656191	112786945	+	111898607	112029561	+	Q12866
19788-6	SL013031	P31153	METK2	S-adenosylmethionine synthetase isoform type-2	4144	MAT2A	MAT2A	4144	MAT2A	HGNC:6904	MAT2A	MAT2A	protein_coding	2	85766101	85772403	+	85539168	85545281	+	P31153
19794-10	SL020273	O95848	NUD14	Uridine diphosphate glucose pyrophosphatase	256281	NUDT14	NUDT14	256281	NUDT14	HGNC:20141	NUDT14	NUDT14	protein_coding	14	105639274	105647660	-	105172938	105181323	-	O95848
19797-4	SL007580	Q92830	GCNL2	Histone acetyltransferase KAT2A	2648	KAT2A	KAT2A	2648	KAT2A	HGNC:4201	KAT2A	KAT2A	protein_coding	17	40265129	40273382	-	42113111	42125866	-	Q92830
19799-2	SL006635	Q8N0Y7	PGAM4	Probable phosphoglycerate mutase 4	441531	PGAM4	PGAM4	441531	PGAM4	HGNC:21731	PGAM4	PGAM4	protein_coding	X	77223458	77225135	-	77967949	77969638	-	Q8N0Y7
19802-22	SL013709	O00559	RCAS1	Receptor-binding cancer antigen expressed on SiSo cells	9166	EBAG9	EBAG9	9166	EBAG9	HGNC:3123	EBAG9	EBAG9	protein_coding	8	110551929	110577391	+	109539711	109570072	+	O00559
19803-34	SL015514	P50120	RET2	Retinol-binding protein 2	5948	RBP2	RBP2	5948	RBP2	HGNC:9920	RBP2	RBP2	protein_coding	3	139171726	139195352	-	139452884	139480723	-	P50120
19808-26	SL008723	O95716	RAB3D	Ras-related protein Rab-3D	9545	RAB3D	RAB3D	9545	RAB3D	HGNC:9779	RAB3D	RAB3D	protein_coding	19	11432722	11450344	-	11322068	11346270	-	O95716
19809-47	SL013035	P36954	RPB9	DNA-directed RNA polymerase II subunit RPB9	5438	POLR2I	POLR2I	5438	POLR2I	HGNC:9196	POLR2I	POLR2I	protein_coding	19	36604611	36606206	-	36113709	36115213	-	P36954
19819-7	SL021788	Q2M5E4	RGS21	Regulator of G-protein signaling 21	431704	RGS21	RGS21	431704	RGS21	HGNC:26839	RGS21	RGS21	protein_coding	1	192286122	192336414	+	192316992	192367285	+	Q2M5E4
19821-10	SL004513	Q96LB8	PGRP-I-beta	Peptidoglycan recognition protein I-beta	57115	PGLYRP4	PGLYRP4	57115	PGLYRP4	HGNC:30015	PGLYRP4	PGLYRP4	protein_coding	1	153302597	153321022	-	153330120	153348841	-	Q96LB8
19823-75	SL021473	Q96EB6	SIR1	NAD-dependent protein deacetylase sirtuin-1	23411	SIRT1	SIRT1	23411	SIRT1	HGNC:14929	SIRT1	SIRT1	protein_coding	10	69644427	69678147	+	67884656	67918390	+	Q96EB6
19824-3	SL013182	Q712K3	UB2R2	Ubiquitin-conjugating enzyme E2 R2	54926	UBE2R2	UBE2R2	54926	UBE2R2	HGNC:19907	UBE2R2	UBE2R2	protein_coding	9	33817182	33920401	+	33817160	33920399	+	Q712K3
20054-28	SL008454	P21399	Aconitase 1	Cytoplasmic aconitate hydratase	48	ACO1	ACO1	48	ACO1	HGNC:117	ACO1	ACO1	protein_coding	9	32384601	32450832	+	32384603	32454769	+	P21399
20055-40	SL021753	O94788	AL1A2	Retinal dehydrogenase 2	8854	ALDH1A2	ALDH1A2	8854	ALDH1A2	HGNC:15472	ALDH1A2	ALDH1A2	protein_coding	15	58245622	58571462	-	57953424	58473913	-	O94788
20056-7	SL025867	Q9ULW2	Frizzled-10:FZ	Frizzled-10:Frizzled domain	11211	FZD10	FZD10	11211	FZD10	HGNC:4039	FZD10	FZD10	protein_coding	12	130647004	130650285	+	130162459	130165740	+	Q9ULW2
20057-177	SL021757	Q9NVP2	ASF1B	Histone chaperone ASF1B	55723	ASF1B	ASF1B	55723	ASF1B	HGNC:20996	ASF1B	ASF1B	protein_coding	19	14230321	14247440	-	14119512	14136613	-	Q9NVP2
20064-24	SL010350	P02751	FN1.2	Fibronectin-1 Fragment 2	2335	FN1	FN1	2335	FN1	HGNC:3778	FN1	FN1	protein_coding	2	216225179	216300791	-	215360440	215436073	-	P02751
20066-19	SL005163	Q13467	Frizzled-5	Frizzled-5	7855	FZD5	FZD5	7855	FZD5	HGNC:4043	FZD5	FZD5	protein_coding	2	208627310	208634143	-	207762598	207769906	-	Q13467
20067-26	SL004728	Q14520	FSAP	Factor seven-activating protease	3026	HABP2	HABP2	3026	HABP2	HGNC:4798	HABP2	HABP2	protein_coding	10	115310590	115349360	+	113550837	113589602	+	Q14520
20068-61	SL020989	P0CL80	GG12F	G antigen 12F	100008586	GAGE12F	GAGE12F	2574	GAGE2C	HGNC:31906	GAGE12F	GAGE12F	protein_coding	X	49197563	49294598	+	NA	NA	NA	NA
20069-23	SL021947	Q8WU03	GLYL2	Glycine N-acyltransferase-like protein 2	219970	GLYATL2	GLYATL2	219970	GLYATL2	HGNC:24178	GLYATL2	GLYATL2	protein_coding	11	58601540	58611997	-	58834065	58904215	-	Q8WU03
20071-53	SL004546	O00221	IKB-epsilon	I-kappa-B-epsilon	4794	NFKBIE	NFKBIE	4794	NFKBIE	HGNC:7799	NFKBIE	NFKBIE	protein_coding	6	44225903	44233525	-	44258166	44265788	-	O00221
20073-22	SL002542	P01116	K-ras	GTPase KRas	3845	KRAS	KRAS	3845	KRAS	HGNC:6407	KRAS	KRAS	protein_coding	12	25358180	25403863	-	25205246	25250936	-	P01116
20074-3	SL012515	Q16787	LAMA3	Laminin subunit alpha-3	3909	LAMA3	LAMA3	3909	LAMA3	HGNC:6483	LAMA3	LAMA3	protein_coding	18	21269562	21535029	+	23689453	23956222	+	Q16787
20075-130	SL005064	P43358	MAGE-4	Melanoma-associated antigen 4	4103	MAGEA4	MAGEA4	4103	MAGEA4	HGNC:6802	MAGEA4	MAGEA4	protein_coding	X	151080996	151093642	+	151912495	151925171	+	P43358
20076-7	SL004389	P41218	MNDA	Myeloid cell nuclear differentiation antigen	4332	MNDA	MNDA	4332	MNDA	HGNC:7183	MNDA	MNDA	protein_coding	1	158801168	158819270	+	158831351	158849506	+	P41218
20078-6	SL008040	P14649	MYL6B	Myosin light chain 6B	140465	MYL6B	MYL6B	140465	MYL6B	HGNC:29823	MYL6B	MYL6B	protein_coding	12	56546204	56551771	+	56152256	56159647	+	P14649
20079-6	SL021781	Q16822	PCKGM	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial	5106	PCK2	PCK2	5106	PCK2	HGNC:8725	PCK2	PCK2	protein_coding	14	24563483	24573339	+	24094053	24110598	+	Q16822
20081-14	SL013874	Q9P1W9	PIM2	Serine/threonine-protein kinase Pim-2	11040	PIM2	PIM2	11040	PIM2	HGNC:8987	PIM2	PIM2	protein_coding	X	48770459	48776413	-	48913182	48919024	-	Q9P1W9
20083-1	SL011181	P20340	RAB6A	Ras-related protein Rab-6A	5870	RAB6A	RAB6A	5870	RAB6A	HGNC:9786	RAB6A	RAB6A	protein_coding	11	73386683	73472201	-	73675638	73761137	-	P20340
20086-5	SL008208	Q15907	RB11B	Ras-related protein Rab-11B	9230	RAB11B	RAB11B	9230	RAB11B	HGNC:9761	RAB11B	RAB11B	protein_coding	19	8455205	8469317	+	8389981	8404434	+	Q15907
20087-3	SL008697	O60613	selenoprotein15	15 kDa selenoprotein	9403	SELENOF	SELENOF	9403	SELENOF	HGNC:17705	SELENOF	SELENOF	protein_coding	1	87328128	87380107	-	86862445	86914424	-	O60613
20089-172	SL021948	O75897	ST1C4	Sulfotransferase 1C4	27233	SULT1C4	SULT1C4	27233	SULT1C4	HGNC:11457	SULT1C4	SULT1C4	protein_coding	2	108994421	109004270	+	108377911	108388989	+	O75897
